年度,时间,湿度,降水,温度
2019,1月1日,83,6,6
2019,1月2日,88,5,7
2019,1月3日,89,3.8,11
2019,1月4日,91,16.1,13
2019,1月5日,92,14.8,10
2019,1月6日,87,1,10
2019,1月7日,91,14.9,9
2019,1月8日,78,1.2,9
2019,1月9日,90,7.5,9
2019,1月10日,92,58.1,11
2019,1月11日,90,5.2,13
2019,1月12日,86,0,8
2019,1月13日,83,0,9
2019,1月14日,89,19.9,11
2019,1月15日,80,5,9
2019,1月16日,70,0.8,8
2019,1月17日,62,0,10
2019,1月18日,84,0,13
2019,1月19日,77,1.2,16
2019,1月20日,69,0,10
2019,1月21日,55,0,9
2019,1月22日,60,0,12
2019,1月23日,58,0,16
2019,1月24日,72,0,16
2019,1月25日,71,0,14
2019,1月26日,72,0,7
2019,1月27日,79,0,13
2019,1月28日,77,2,13
2019,1月29日,90,0,13
2019,1月30日,94,0,20
2019,1月31日,75,0.4,10
2019,2月1日,81,0,12
2019,2月2日,89,0,19
2019,2月3日,78,0,17
2019,2月4日,75,0,13
2019,2月5日,90,0.2,17
2019,2月6日,92,0,22
2019,2月7日,82,4.4,14
2019,2月8日,86,4.4,8
2019,2月9日,85,3.3,8
2019,2月10日,90,9.1,8
2019,2月11日,91,17.5,7
2019,2月12日,96,19.5,14
2019,2月13日,91,21.4,12
2019,2月14日,93,3,10
2019,2月15日,89,22.1,12
2019,2月16日,79,4.2,7
2019,2月17日,87,11.3,8
2019,2月18日,94,15,11
2019,2月19日,81,0.2,13
2019,2月20日,91,3.5,10
2019,2月21日,93,27.4,9
2019,2月22日,85,0.4,8
2019,2月23日,79,0.2,9
2019,2月24日,81,0.6,12
2019,2月25日,84,0.4,10
2019,2月26日,88,3.1,15
2019,2月27日,91,8,15
2019,2月28日,84,0.2,11
2019,3月1日,89,7.5,13
2019,3月2日,93,3.5,12
2019,3月3日,84,0,12
2019,3月4日,76,0,14
2019,3月5日,95,16.7,12
2019,3月6日,86,0.4,12
2019,3月7日,70,0,12
2019,3月8日,85,8.3,14
2019,3月9日,81,1.1,15
2019,3月10日,90,0,15
2019,3月11日,62,0,19
2019,3月12日,70,0,21
2019,3月13日,82,59.1,17
2019,3月14日,86,0.2,11
2019,3月15日,69,0,21
2019,3月16日,77,0,21
2019,3月17日,81,7.9,21
2019,3月18日,93,0,17
2019,3月19日,81,0,20
2019,3月20日,91,10.7,27
2019,3月21日,85,9.8,17
2019,3月22日,71,1.9,9
2019,3月23日,62,0,14
2019,3月24日,77,4.9,16
2019,3月25日,85,0,16
2019,3月26日,72,0,23
2019,3月27日,91,36.6,21
2019,3月28日,92,38.1,18
2019,3月29日,89,0,18
2019,3月30日,60,0,22
2019,3月31日,56,0,12
2019,4月1日,64,0,19
2019,4月2日,88,18.8,19
2019,4月3日,90,0.2,15
2019,4月4日,92,0.8,14
2019,4月5日,79,0,23
2019,4月6日,77,0,26
2019,4月7日,63,0,31
2019,4月8日,87,0,31
2019,4月9日,81,3.2,34
2019,4月10日,79,3.2,14
2019,4月11日,84,0,13
2019,4月12日,73,0,19
2019,4月13日,87,0.5,23
2019,4月14日,81,0,21
2019,4月15日,66,0,21
2019,4月16日,85,0,19
2019,4月17日,87,0,27
2019,4月18日,89,0,31
2019,4月19日,88,3,27
2019,4月20日,95,0,21
2019,4月21日,94,1.5,27
2019,4月22日,95,17.3,27
2019,4月23日,93,14.2,29
2019,4月24日,94,8.4,28
2019,4月25日,92,1.4,25
2019,4月26日,72,0.2,21
2019,4月27日,81,12.3,19
2019,4月28日,86,0,25
2019,4月29日,91,37.9,27
2019,4月30日,88,0.7,17
2019,5月1日,73,0.8,24
2019,5月2日,56,0,23
2019,5月3日,42,0,25
2019,5月4日,76,0,26
2019,5月5日,86,0,27
2019,5月6日,57,0,21
2019,5月7日,60,0,19
2019,5月8日,84,4.3,23
2019,5月9日,89,5.7,23
2019,5月10日,82,12.6,26
2019,5月11日,73,0,29
2019,5月12日,82,14.6,29
2019,5月13日,94,107.9,18
2019,5月14日,93,5.7,22
2019,5月15日,95,8.9,23
2019,5月16日,94,6.3,31
2019,5月17日,93,5.7,31
2019,5月18日,89,0,29
2019,5月19日,92,25.8,33
2019,5月20日,47,0,24
2019,5月21日,43,0,27
2019,5月22日,62,0,34
2019,5月23日,67,0,35
2019,5月24日,78,0,33
2019,5月25日,81,2.1,29
2019,5月26日,91,33.4,24
2019,5月27日,82,15.9,28
2019,5月28日,58,0,23
2019,5月29日,60,0,27
2019,5月30日,85,0.9,28
2019,5月31日,89,0.2,23
2019,6月1日,87,0,25
2019,6月2日,91,0,30
2019,6月3日,92,0,32
2019,6月4日,91,0,33
2019,6月5日,87,0,34
2019,6月6日,75,0.2,34
2019,6月7日,82,0,31
2019,6月8日,90,1,30
2019,6月9日,93,1,30
2019,6月10日,91,4.1,32
2019,6月11日,85,0,27
2019,6月12日,86,0,24
2019,6月13日,93,49.3,22
2019,6月14日,81,0,26
2019,6月15日,76,0,31
2019,6月16日,64,0,32
2019,6月17日,89,2.7,25
2019,6月18日,97,3.3,24
2019,6月19日,95,6,26
2019,6月20日,97,6.3,24
2019,6月21日,94,0.4,23
2019,6月22日,91,0.8,27
2019,6月23日,87,0,26
2019,6月24日,88,0,27
2019,6月25日,92,21.4,25
2019,6月26日,92,5,28
2019,6月27日,89,0.6,31
2019,6月28日,87,0,35
2019,6月29日,92,16.7,35
2019,6月30日,94,20.1,33
2019,7月1日,95,32.2,30
2019,7月2日,96,3.3,26
2019,7月3日,94,3.7,26
2019,7月4日,89,3.3,27
2019,7月5日,91,0,24
2019,7月6日,91,0.1,31
2019,7月7日,74,4.4,32
2019,7月8日,89,23.4,31
2019,7月9日,96,59,23
2019,7月10日,91,0,25
2019,7月11日,91,2,29
2019,7月12日,95,7.9,29
2019,7月13日,96,39.9,24
2019,7月14日,93,0.4,26
2019,7月15日,94,4.3,29
2019,7月16日,91,7.8,30
2019,7月17日,92,0.5,32
2019,7月18日,93,5.3,31
2019,7月19日,90,8.1,31
2019,7月20日,90,4,32
2019,7月21日,89,2.2,34
2019,7月22日,80,0,34
2019,7月23日,83,0,36
2019,7月24日,80,0,36
2019,7月25日,81,5.1,37
2019,7月26日,81,3.6,37
2019,7月27日,82,1.8,37
2019,7月28日,84,0.2,34
2019,7月29日,83,0,35
2019,7月30日,83,0.2,35
2019,7月31日,86,0,35
2019,8月1日,86,0,34
2019,8月2日,86,0.3,34
2019,8月3日,87,6.8,32
2019,8月4日,86,0.1,33
2019,8月5日,87,0,33
